Gaoshan,26.682871,100.109307
Dera Bugti,28.7382793,69.1963258
Chongqing,29.4315861,106.912251
Zangbi,30.662051,92.368911
Pazarić,43.7876733,18.1512379
Coishco,-9.0202023,-78.6143377
Tasböget,44.7735327,65.5544515
Georgiyevka,53.2692817,50.991078
Huayuan,28.572029,109.482078
Bajos de Haina,18.4091399,-70.031039
Margita,45.2224944,21.1806058
Darong,40.076762,113.300129
Nowy Staw,54.13607,19.00874
Yangmingbu,39.013668,112.882158
Sekartaji,-8.8014766,115.5740294
Tamuning-Tumon-Harmon Village,13.5027167,144.8016402
Papetoai,-17.4956441,-149.8728273
Hradec nad Moravici,49.871007,17.8758236
Sumberjati,-8.1830575,113.9358031
Hammarö,59.3192962,13.5389591
